id,user_type_id:id,code,name,reconcile,chart_template_id:id
__export__.account_account_4486,account.data_account_type_expenses,L304,Savos akcijos(-),0,l10n_lt_account_chart_template
__export__.account_account_4487,account.data_account_type_equity,L32,PERKAINOJIMO REZERVAS (REZULTATAI),0,l10n_lt_account_chart_template
__export__.account_account_4488,account.data_account_type_equity,L321,Ilgalaikio materialiojo turto perkainojimo rezultas,0,l10n_lt_account_chart_template
__export__.account_account_4489,account.data_account_type_equity,L322,Ilgalaikio finansinio turto perkainojimo rezultatas,0,l10n_lt_account_chart_template
__export__.account_account_4490,account.data_account_type_equity,L33,REZERVAI,0,l10n_lt_account_chart_template
__export__.account_account_4491,account.data_account_type_equity,L331,Privalomasis,0,l10n_lt_account_chart_template
__export__.account_account_4492,account.data_account_type_equity,L332,Savoms akcijoms įsigyti,0,l10n_lt_account_chart_template
__export__.account_account_4493,account.data_account_type_equity,L333,Kiti rezervai,0,l10n_lt_account_chart_template
__export__.account_account_4494,account.data_account_type_equity,L34,NEPASKIRSTYTASIS PELNAS (NUOSTOLIS),0,l10n_lt_account_chart_template
__export__.account_account_4495,account.data_account_type_equity,L341,ATASKAITINIŲ METŲ NEPASKIRSTYTAS PELNAS (NUOSTOLIS),0,l10n_lt_account_chart_template
__export__.account_account_4496,account.data_account_type_equity,L3411,Pelno (nuostolio) ataskaitoje pripažintas ataskaitinių metų pelnas,0,l10n_lt_account_chart_template
__export__.account_account_4497,account.data_account_type_equity,L3412,Pelno (nuostolio) ataskaitoje nepripažintas ataskaitinių metų pelnas (nuostolis),0,l10n_lt_account_chart_template
__export__.account_account_4498,account.data_account_type_equity,L342,ANKSTESNIŲ METŲ NEPASKIRSTYTASIS PELNAS (NUOSTOLIAI),0,l10n_lt_account_chart_template
__export__.account_account_4499,account.data_account_type_equity,L3421,Pelno (nuostolio) ataskaitoje pripažintas ankstesnių metų pelnas,0,l10n_lt_account_chart_template
__export__.account_account_4500,account.data_account_type_equity,L3422,Pelno (nuostolio) ataskaitoje nepripažintas gr.nepask.ankst.metų pelnas,0,l10n_lt_account_chart_template
__export__.account_account_4501,account.data_account_type_equity,L3423,Ankst.metų apskaitos politikos keitimo pelnas (nuostoliai),0,l10n_lt_account_chart_template
__export__.account_account_4502,account.data_account_type_equity,L3424,Ankst.metų esminių klaidų taisymo pelnas (nuostuoliai),0,l10n_lt_account_chart_template
__export__.account_account_4503,account.data_account_type_equity,L35,DOTACIJOS IR SUBSIDIJOS,0,l10n_lt_account_chart_template
__export__.account_account_4504,account.data_account_type_equity,L3501,Gautinos dotacijos ir subsidjos,0,l10n_lt_account_chart_template
__export__.account_account_4505,account.data_account_type_equity,L3511,Gautos dotacijos ir subsidijos,0,l10n_lt_account_chart_template
__export__.account_account_4506,account.data_account_type_equity,L390,SUVESTINĖS SĄSKAITOS,0,l10n_lt_account_chart_template
__export__.account_account_4507,account.data_account_type_equity,L3901,Tranzitinė sąskaita,0,l10n_lt_account_chart_template
__export__.account_account_4508,account.data_account_type_current_liabilities,L4011,Lizingo (finansinės nuomos) ar panašūs įsipareigojimai,0,l10n_lt_account_chart_template
__export__.account_account_4509,account.data_account_type_current_liabilities,L4012,Kredito įstaigoms,0,l10n_lt_account_chart_template
__export__.account_account_4510,account.data_account_type_current_liabilities,L4013,Kitos finansinės skolos,0,l10n_lt_account_chart_template
__export__.account_account_4511,account.data_account_type_payable,L40201,Po vienerių metų mokėtinos skolos tiekėjams,1,l10n_lt_account_chart_template
__export__.account_account_4512,account.data_account_type_non_current_liabilities,L40301,Ilgalaikiai išankstiniai apmokėjimai,0,l10n_lt_account_chart_template
